300/6/2/0/0/1/1/1/1
301/1/2/0/0/0/1/0/1
302/1/2/0/0/1/1/1/1
303/1/0/0/0/0/0/0/0
304/3/2/0/0/2/0/2/0
305/0/3/0/0/1/2/1/2
306/2/1/0/0/1/2/1/2
307/2/2/0/0/1/0/1/0
308/1/0/0/0/0/1/0/1
309/2/2/0/0/0/0/0/0
310/2/0/0/0/1/0/1/0
311/1/1/0/0/1/2/1/2
312/1/1/0/0/1/0/1/0
313/2/3/0/0/0/1/0/1
314/1/5/0/0/0/0/0/0
315/3/2/0/0/1/0/1/0
316/2/0/0/0/1/1/1/1
317/1/2/0/0/0/1/0/1
318/5/3/0/0/0/0/0/0
319/5/2/0/0/0/0/0/0
320/5/1/0/0/1/1/1/1
321/2/0/0/0/0/0/0/0
322/3/4/0/0/0/0/0/0
323/4/2/0/0/0/0/0/0
324/2/1/0/0/1/1/1/1
325/3/3/0/0/0/0/0/0
326/4/1/0/0/0/0/0/0
327/4/3/0/0/0/0/0/0
328/1/2/0/0/0/0/0/0
329/2/3/0/0/0/0/0/0
330/4/2/0/0/1/1/1/1
331/1/3/0/0/1/1/1/1
332/5/1/0/0/0/0/0/0
333/2/0/0/0/1/0/1/0
334/7/3/0/0/0/1/0/1
335/12/13/0/0/0/0/0/0
336/16/10/0/0/0/0/0/0
337/11/7/0/0/2/2/2/2
338/10/8/0/0/0/0/0/0
339/11/9/0/0/0/0/0/0
340/15/13/0/0/2/0/2/0
341/20/10/0/0/1/2/1/2
342/14/9/0/0/0/1/0/1
343/19/11/0/0/0/0/0/0
344/9/12/1/1/0/0/0/0
345/17/10/0/0/1/0/1/0
346/15/11/0/0/1/2/1/2
347/10/10/0/0/1/0/1/0
348/17/5/0/0/1/1/1/1
349/19/17/1/1/1/1/1/1
350/16/3/1/1/0/1/0/1
351/17/9/1/1/2/0/2/0
352/16/9/0/0/1/2/1/2
353/9/6/0/0/0/1/0/1
354/2/5/0/0/0/0/0/0
355/2/4/0/0/0/0/0/0
356/4/5/0/0/0/0/0/0
357/5/4/0/0/0/0/0/0
358/3/2/0/0/1/1/1/1
359/3/2/0/0/1/0/1/0
360/5/0/0/0/1/2/1/2
361/2/3/0/0/1/1/1/1
362/0/3/0/0/0/0/0/0
363/2/5/0/0/0/0/0/0
364/2/1/0/0/0/0/0/0
365/1/0/0/0/0/0/0/0
366/1/0/0/0/0/0/0/0
367/2/0/0/0/0/0/0/0
368/0/3/0/0/0/0/0/0
369/1/1/0/0/0/0/0/0
370/1/0/0/0/1/1/1/1
371/1/2/0/0/1/1/1/1
372/2/1/0/0/0/0/0/0
373/1/0/0/0/0/0/0/0
374/0/0/0/0/0/0/0/0
375/0/2/0/0/0/0/0/0
376/2/0/0/0/1/0/1/0
377/0/1/0/0/1/2/1/2
378/0/0/0/0/0/0/0/0
379/1/0/1/1/1/1/1/1
380/1/2/0/0/0/0/0/0
381/0/1/0/0/1/0/1/0
382/0/0/0/0/0/1/0/1
383/1/0/0/0/0/0/0/0
384/1/0/0/0/1/1/1/1
385/0/0/0/0/1/1/1/1
386/0/0/0/0/2/1/2/1
387/1/0/0/0/1/1/1/1
388/0/2/0/0/0/1/0/1
389/0/1/0/0/1/0/1/0
390/0/0/0/0/0/1/0/1
391/1/0/0/0/1/1/1/1
392/1/0/0/0/0/0/0/0
393/0/0/0/0/1/1/1/1
394/0/0/0/0/1/1/1/1
395/0/0/0/0/1/1/1/1
396/1/0/0/0/2/2/2/2
397/0/1/0/0/1/1/1/1
398/0/1/0/0/1/1/1/1
399/1/1/1/1/0/0/0/0
400/1/0/0/0/0/0/0/0
401/0/0/0/0/0/0/0/0
402/1/1/0/0/0/0/0/0
403/2/3/0/0/0/0/0/0
404/1/2/0/0/1/1/1/1
405/0/2/0/0/0/0/0/0
406/3/2/0/0/1/1/1/1
407/0/4/0/0/0/0/0/0
408/2/2/0/0/0/0/0/0
409/1/2/0/0/0/0/0/0
410/0/2/0/0/0/0/0/0
411/3/4/0/0/0/0/0/0
412/1/1/0/0/1/1/1/1
413/1/3/0/0/1/1/1/1
414/3/1/0/0/0/0/0/0
415/5/4/0/0/0/0/0/0
416/4/5/0/0/0/0/0/0
417/3/0/0/0/0/0/0/0
418/3/5/1/1/1/1/1/1
419/4/2/0/0/1/0/1/0
420/2/4/0/0/1/1/1/1
421/2/3/1/1/0/1/0/1
422/3/3/0/0/2/0/2/0
423/4/2/0/0/2/4/2/4
424/5/2/0/0/0/0/0/0
425/6/3/1/1/0/0/0/0
426/2/4/0/0/1/0/1/0
427/1/3/0/0/0/1/0/1
428/5/4/0/0/1/1/1/1
429/1/5/0/0/1/0/1/0
430/1/3/0/0/0/1/0/1
431/4/4/0/0/1/1/1/1
432/4/1/0/0/1/1/1/1
433/2/2/0/0/0/0/0/0
434/2/4/0/0/2/1/2/1
435/4/3/0/0/1/1/1/1
436/3/2/0/0/0/1/0/1
437/4/4/0/0/0/0/0/0
438/5/5/0/0/1/1/1/1
439/4/4/0/0/0/0/0/0
